slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
omnia-pro-growth-recent-state,Omnia,"[""[Buy](https://docs.omniatech.io/pricing-plans)""]",Pro Growth,Tiered,Pruned,RPC,EVM JSON-RPC,$79/mo,$2.633/1M CUs,NULL,NULL,NULL,,,,,FALSE,TRUE,"[""Public RPC Endpoints"",""Security Features"",""Infrastructure Tools"",""Specialized APIs""]","[""30M req/mo"",""100 rps""]","[""Front-running and Sandwich Attack Protection"",""Honeypot and Scam Protection""]","[""Uptime and Availability Monitoring"",""Latency Metrics"",""HealthCheck Monitors"",""Data Integrity Checks""]","[""Global""]","[""Advanced Integration and Development Tools"",""AI and Intelligent Automation"",""Security and Compliance"",""Management and Administration""]",null
omnia-pro-elite-recent-state,Omnia,"[""[Buy](https://docs.omniatech.io/pricing-plans)""]",Pro Elite,Tiered,Pruned,RPC,EVM JSON-RPC,$792/mo,$5.28/1M CUs,NULL,NULL,NULL,98%,,,,FALSE,TRUE,"[""Public RPC Endpoints"",""Security Features"",""Infrastructure Tools"",""Specialized APIs""]","[""150M req/mo"",""250 rps""]","[""Front-running and Sandwich Attack Protection"",""Honeypot and Scam Protection""]","[""Uptime and Availability Monitoring"",""Latency Metrics"",""HealthCheck Monitors"",""Data Integrity Checks""]","[""Global""]","[""Advanced Integration and Development Tools"",""AI and Intelligent Automation"",""Security and Compliance"",""Management and Administration""]",null
omnia-enterprise-recent-state,Omnia,"[""[Contact](https://docs.omniatech.io/pricing-plans)""]",Enterprise,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,99.99%,,,,FALSE,TRUE,"[""Public RPC Endpoints"",""Security Features"",""Infrastructure Tools"",""Specialized APIs""]","[""300M req/mo"",""500+ rps""]","[""Front-running and Sandwich Attack Protection"",""Honeypot and Scam Protection""]","[""Uptime and Availability Monitoring"",""Latency Metrics"",""HealthCheck Monitors"",""Data Integrity Checks""]","[""Global""]","[""Advanced Integration and Development Tools"",""AI and Intelligent Automation"",""Security and Compliance"",""Management and Administration""]",null
quicknode-build-recent-state,Quicknode,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Build,Tiered,Pruned,RPC,EVM JSON-RPC,"$49/mo (monthly plan),$42/mo (yearly plan)",$0.62 per 1M extra API credits,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""80M API credits"",""10 endpoints"",""50 reqs/sec""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]","[""Multi-Chain SDK"",""Smart Contract Explorer & Gas Tracker""]",null
quicknode-accelerate-recent-state,Quicknode,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Accelerate,Tiered,Pruned,RPC,EVM JSON-RPC,"$249/mo (monthly plan), $212/mo (yearly plan)",$0.55 per 1M extra API credits,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""450M API credits"",""20 endpoints"",""125 reqs/sec""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]","[""Multi-Chain SDK"",""Smart Contract Explorer & Gas Tracker""]",null
quicknode-scale-recent-state,Quicknode,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Scale,Tiered,Pruned,RPC,EVM JSON-RPC,"$499/mo (monthly plan),$424/mo (yearly plan)",$0.53 per 1M extra API credits,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""950M API credits"",""50 endpoints"",""250 reqs/sec""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]","[""Multi-Chain SDK"",""Smart Contract Explorer & Gas Tracker""]",null
quicknode-business-recent-state,Quicknode,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Business,Tiered,Pruned,RPC,EVM JSON-RPC,"$999/mo (monthly plan), $849/mo (yearly plan)",$0.5 per 1M extra API credits,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""2B API credits"",""50 endpoints"",""500 reqs/sec""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]","[""Multi-Chain SDK"",""Smart Contract Explorer & Gas Tracker""]",null
quicknode-enterprise-recent-state,Quicknode,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Enterprise,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""Custom"",""Unlimited endpoints"",""Custom""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]","[""Multi-Chain SDK"",""Smart Contract Explorer & Gas Tracker""]",null
quicknode-build-full-archive,Quicknode,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Build,Tiered,Archive,RPC,EVM JSON-RPC,"$49/mo (monthly plan),$42/mo (yearly plan)",$0.62 per 1M extra API credits,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""80M API credits"",""10 endpoints"",""50 reqs/sec""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]","[""Multi-Chain SDK"",""Smart Contract Explorer & Gas Tracker""]",null
quicknode-accelerate-full-archive,Quicknode,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Accelerate,Tiered,Archive,RPC,EVM JSON-RPC,"$249/mo (monthly plan), $212/mo (yearly plan)",$0.55 per 1M extra API credits,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""450M API credits"",""20 endpoints"",""125 reqs/sec""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]","[""Multi-Chain SDK"",""Smart Contract Explorer & Gas Tracker""]",null
quicknode-scale-full-archive,Quicknode,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Scale,Tiered,Archive,RPC,EVM JSON-RPC,"$499/mo (monthly plan),$424/mo (yearly plan)",$0.53 per 1M extra API credits,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""950M API credits"",""50 endpoints"",""250 reqs/sec""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]","[""Multi-Chain SDK"",""Smart Contract Explorer & Gas Tracker""]",null
quicknode-business-full-archive,Quicknode,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Business,Tiered,Archive,RPC,EVM JSON-RPC,"$999/mo (monthly plan), $849/mo (yearly plan)",$0.5 per 1M extra API credits,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""2B API credits"",""50 endpoints"",""500 reqs/sec""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]","[""Multi-Chain SDK"",""Smart Contract Explorer & Gas Tracker""]",null
quicknode-enterprise-full-archive,Quicknode,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Enterprise,Enterprise,Archive,RPC,EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""Custom"",""Unlimited endpoints"",""Custom""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]","[""Multi-Chain SDK"",""Smart Contract Explorer & Gas Tracker""]",null
node-real-free-full-archive,NodeReal,"[""[Website](https://nodereal.io/)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Free,Free,Archive,RPC,EVM JSON-RPC,$0,$0,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""100M req/mo"",""150 rps"",""3 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-growth-full-archive,NodeReal,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Growth,Tiered,Archive,RPC,EVM JSON-RPC,"$39/mo (monthly plan), $33/mo (semi-annual plan), $31/mo (annual plan)",,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""500M req/mo"",""700 rps"",""15 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-team-full-archive,NodeReal,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Team,Tiered,Archive,RPC,EVM JSON-RPC,"$199/mo (monthly plan), $169/mo (semi-annual plan), $159/mo (annual plan)",,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""2B req/mo"",""1.5K rps"",""30 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-business-full-archive,NodeReal,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Business,Tiered,Archive,RPC,EVM JSON-RPC,"$499/mo (monthly plan), $424/mo (semi-annual plan), $399/mo (annual plan)",,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""5B req/mo"",""3K rps"",""50 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-semita-full-archive,NodeReal,"[""[Contact](https://docs.google.com/forms/d/e/1FAIpQLSe6LIIVXNqZR1JrMOLaToNAk7v21zgmYoExDuvaHXicA-bnJg/viewform)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Semita,Enterprise,Archive,RPC,EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,99.99%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""Custom""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-free-recent-state,NodeReal,"[""[Website](https://nodereal.io/)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Free,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""100M req/mo"",""150 rps"",""3 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-growth-recent-state,NodeReal,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Growth,Tiered,Pruned,RPC,EVM JSON-RPC,"$39/mo (monthly plan), $33/mo (semi-annual plan), $31/mo (annual plan)",,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""500M req/mo"",""700 rps"",""15 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-team-recent-state,NodeReal,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Team,Tiered,Pruned,RPC,EVM JSON-RPC,"$199/mo (monthly plan), $169/mo (semi-annual plan), $159/mo (annual plan)",,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""2B req/mo"",""1.5K rps"",""30 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-business-recent-state,NodeReal,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Business,Tiered,Pruned,RPC,EVM JSON-RPC,"$499/mo (monthly plan), $424/mo (semi-annual plan), $399/mo (annual plan)",,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""5B req/mo"",""3K rps"",""50 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-semita-recent-state,NodeReal,"[""[Contact](https://docs.google.com/forms/d/e/1FAIpQLSe6LIIVXNqZR1JrMOLaToNAk7v21zgmYoExDuvaHXicA-bnJg/viewform)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Semita,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,99.99%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""Custom""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-free,NodeReal,"[""[Website](https://nodereal.io/)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Free,Free,Archive,Indexed Data,Custom,$0,$0,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""100M req/mo"",""150 rps"",""3 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-growth,NodeReal,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Growth,Tiered,Archive,Indexed Data,Custom,"$39/mo (monthly plan), $33/mo (semi-annual plan), $31/mo (annual plan)",,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""500M req/mo"",""700 rps"",""15 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-team,NodeReal,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Team,Tiered,Archive,Indexed Data,Custom,"$199/mo (monthly plan), $169/mo (semi-annual plan), $159/mo (annual plan)",,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""2B req/mo"",""1.5K rps"",""30 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-business,NodeReal,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Business,Tiered,Archive,Indexed Data,Custom,"$499/mo (monthly plan), $424/mo (semi-annual plan), $399/mo (annual plan)",,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""5B req/mo"",""3K rps"",""50 API Keys""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
node-real-semita,NodeReal,"[""[Contact](https://docs.google.com/forms/d/e/1FAIpQLSe6LIIVXNqZR1JrMOLaToNAk7v21zgmYoExDuvaHXicA-bnJg/viewform)"",""[Docs](https://docs.nodereal.io/docs/intro-nodereal)""]",Semita,Enterprise,Archive,Indexed Data,Custom,Custom,Custom,NULL,NULL,NULL,99.99%,,,,FALSE,TRUE,"[""eth_accounts"",""eth_blockNumber"",""eth_call"",""eth_getBalance"",""debug_traceTransaction"",""trace_block"",""trace_call""]","[""Custom""]","[""Maximal Extractable Value Protection"",""Secure APIs"",""Domain Whitelisting"",""Access Controls""]","[""Real-time Monitoring"",""Request Analytics"",""Debug APIs"",""Performance Metrics""]","[""Global""]","[""Real-time Event Monitoring"",""Developer Tools & Support"",""Security & Compliance"",""Private Transactions & Enhanced APIs""]",null
moralis-free-full-archive,Moralis,"[""[Website](https://moralis.com/nodes/)""]",Free,Free,Archive,RPC,EVM JSON-RPC,$0,$0,NULL,NULL,NULL,99.90%,,,,FALSE,TRUE,"[""eth_blockNumber"",""eth_sendTransaction"",""eth_getBalance"",""eth_getTransactions""]","[""40K req/day""]","[""Independent Audits"",""Customer Data Encryption"",""Rate Limiting""]","[""Data Export for Analytics"",""Error Handling and Support"",""Structured & Accessible Data"",""Usage Dashboards""]","[""Global""]","[""Comprehensive & Enriched Data APIs"",""Real-Time Data Streams"",""Managed & Scalable Backend Infrastructure"",""Integrated Developer Tools""]",null
moralis-starter-full-archive,Moralis,"[""[Website](https://moralis.com/pricing/)""]",Starter,Tiered,Archive,RPC,EVM JSON-RPC,$59/month,$29.5/1M CUs,NULL,NULL,NULL,99.90%,,,,FALSE,TRUE,"[""eth_blockNumber"",""eth_sendTransaction"",""eth_getBalance"",""eth_getTransactions""]","[""2M req/mo"", ""1000 rps""]","[""Independent Audits"",""Customer Data Encryption"",""Rate Limiting""]","[""Data Export for Analytics"",""Error Handling and Support"",""Structured & Accessible Data"",""Usage Dashboards""]","[""Global""]","[""Comprehensive & Enriched Data APIs"",""Real-Time Data Streams"",""Managed & Scalable Backend Infrastructure"",""Integrated Developer Tools""]",null
moralis-pro-full-archive,Moralis,"[""[Website](https://moralis.com/pricing/)""]",Pro,Tiered,Archive,RPC,EVM JSON-RPC,$249/month,$2.49/1M CUs,NULL,NULL,NULL,99.90%,,,,FALSE,TRUE,"[""eth_blockNumber"",""eth_sendTransaction"",""eth_getBalance"",""eth_getTransactions""]","[""100M req/mo"", ""2000 rps""]","[""Independent Audits"",""Customer Data Encryption"",""Rate Limiting""]","[""Data Export for Analytics"",""Error Handling and Support"",""Structured & Accessible Data"",""Usage Dashboards""]","[""Global""]","[""Comprehensive & Enriched Data APIs"",""Real-Time Data Streams"",""Managed & Scalable Backend Infrastructure"",""Integrated Developer Tools""]",null
moralis-business-full-archive,Moralis,"[""[Website](https://moralis.com/nodes/)""]",Business,Tiered,Archive,RPC,EVM JSON-RPC,$749/month,$1.498/1M CUs,NULL,NULL,NULL,99.90%,,,,FALSE,TRUE,"[""eth_blockNumber"",""eth_sendTransaction"",""eth_getBalance"",""eth_getTransactions""]","[""500M req/mo"", ""5000 rps""]","[""Independent Audits"",""Customer Data Encryption"",""Rate Limiting""]","[""Data Export for Analytics"",""Error Handling and Support"",""Structured & Accessible Data"",""Usage Dashboards""]","[""Global""]","[""Comprehensive & Enriched Data APIs"",""Real-Time Data Streams"",""Managed & Scalable Backend Infrastructure"",""Integrated Developer Tools""]",null
moralis-enterprise-full-archive,Moralis,"[""[Website](https://moralis.com/pricing/)""]",Enterprise,Enterprise,Archive,RPC,EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,Custom,,,,FALSE,TRUE,"[""eth_blockNumber"",""eth_sendTransaction"",""eth_getBalance"",""eth_getTransactions""]","[""Custom""]","[""Independent Audits"",""Customer Data Encryption"",""Rate Limiting""]","[""Data Export for Analytics"",""Error Handling and Support"",""Structured & Accessible Data"",""Usage Dashboards""]","[""Global""]","[""Comprehensive & Enriched Data APIs"",""Real-Time Data Streams"",""Managed & Scalable Backend Infrastructure"",""Integrated Developer Tools""]",null
moralis-indexer-free,Moralis,"[""[Website](https://moralis.com/data-indexer/)""]",Free,Free,Archive,Indexed Data,Moralis Data Indexer,$0,$0,NULL,NULL,NULL,99.9%,,,,FALSE,TRUE,"[""wallet api"",""nft api"",""blockchain api"",""price api"",""streams api""]","[""40K req/day""]","[""Independent Audits"",""Customer Data Encryption"",""Mandatory Two-Factor Authentication""]","[""Data Export for Analytics"",""Error Handling and Support"",""Structured & Accessible Data"",""Usage Dashboards""]","[""Global""]","[""Comprehensive & Enriched Data APIs"",""Real-Time Data Streams"",""Managed & Scalable Backend Infrastructure"",""Integrated Developer Tools""]",null
moralis-indexer-starter,Moralis,"[""[Website](https://moralis.com/data-indexer/)""]",Starter,Tiered,Archive,Indexed Data,Moralis Data Indexer,$59/month,$29.5/1M CUs,NULL,NULL,NULL,99.9%,,,,FALSE,TRUE,"[""wallet api"",""nft api"",""blockchain api"",""price api"",""streams api""]","[""2M req/mo"", ""1000 rps""]","[""Independent Audits"",""Customer Data Encryption"",""Mandatory Two-Factor Authentication""]","[""Data Export for Analytics"",""Error Handling and Support"",""Structured & Accessible Data"",""Usage Dashboards""]","[""Global""]","[""Comprehensive & Enriched Data APIs"",""Real-Time Data Streams"",""Managed & Scalable Backend Infrastructure"",""Integrated Developer Tools""]",null
moralis-indexer-pro,Moralis,"[""[Website](https://moralis.com/data-indexer/)""]",Pro,Tiered,Archive,Indexed Data,Moralis Data Indexer,$249/month,$2.49/1M CUs,NULL,NULL,NULL,99.9%,,,,FALSE,TRUE,"[""wallet api"",""nft api"",""blockchain api"",""price api"",""streams api""]","[""100M req/mo"", ""2000 rps""]","[""Independent Audits"",""Customer Data Encryption"",""Mandatory Two-Factor Authentication""]","[""Data Export for Analytics"",""Error Handling and Support"",""Structured & Accessible Data"",""Usage Dashboards""]","[""Global""]","[""Comprehensive & Enriched Data APIs"",""Real-Time Data Streams"",""Managed & Scalable Backend Infrastructure"",""Integrated Developer Tools""]",null
moralis-indexer-business,Moralis,"[""[Website](https://moralis.com/data-indexer/)""]",Business,Tiered,Archive,Indexed Data,Moralis Data Indexer,$749/month,$1.498/1M CUs,NULL,NULL,NULL,99.9%,,,,FALSE,TRUE,"[""wallet api"",""nft api"",""blockchain api"",""price api"",""streams api""]","[""500M req/mo"", ""5000 rps""]","[""Independent Audits"",""Customer Data Encryption"",""Mandatory Two-Factor Authentication""]","[""Data Export for Analytics"",""Error Handling and Support"",""Structured & Accessible Data"",""Usage Dashboards""]","[""Global""]","[""Comprehensive & Enriched Data APIs"",""Real-Time Data Streams"",""Managed & Scalable Backend Infrastructure"",""Integrated Developer Tools""]",null
